dataset,strategy,dice,precision,recall,iou
jrc_hela-2,regional_g16,0.2449016487789256,0.37848195654357497,0.2126711038244534,0.17317586715746894
jrc_hela-2,regional_g8,0.24901038966660102,0.37375846099667187,0.22500354837835013,0.17984357848930607
jrc_hela-2,salient_mask,0.26370375435670035,0.35366417980522025,0.26604261898245907,0.1970878585615665
jrc_hela-2,salient_mask_aggressive,0.2827379442217305,0.34214847792463354,0.27117097163201676,0.20776436071904475
jrc_hela-2,uncertainty_au,0.17811275575429802,0.4004092479126264,0.1365638356842715,0.11455973071274586
jrc_hela-2,uncertainty_eu,0.21368082941969604,0.33713634374460116,0.22920431355941467,0.14561456015622826
jrc_hela-3,box_class_mask,0.3716146175808641,0.3830827755046006,0.3953616490743331,0.2720774118663211
jrc_hela-3,box_class_mask_tight,0.37633320917511826,0.3860193710107932,0.3953344987032567,0.2784884903426197
jrc_hela-3,class_presence,0.17306611366578153,0.3704882770983728,0.197825282437812,0.10847923235528172
jrc_hela-3,class_presence_strict,0.07285647919025137,0.31510785001966785,0.1463425591757872,0.04178509754815659
jrc_hela-3,entropy_mask,0.2785152525540782,0.3936798330638854,0.2995710012225465,0.18832100370883414
jrc_hela-3,entropy_mask_strict,0.18101488646846936,0.3598827422722607,0.23502501810976964,0.11421469634078565
jrc_hela-3,masksup_r0.3,0.22317857014681325,0.35181499129911914,0.24094276783198212,0.15880549753139062
jrc_hela-3,masksup_r0.5,0.24363524753447194,0.3672688164628838,0.3268333462756961,0.17496526351160596
jrc_hela-3,no_mask,0.16868273172153475,0.29180588568386046,0.12013345207120314,0.10713814075786916
jrc_hela-3,regional_g16,0.2432398156880911,0.29635339930775134,0.29556992287644274,0.160520110829835
jrc_hela-3,regional_g8,0.20572223970532066,0.3617678675052811,0.26507141213297214,0.1278409556008832
jrc_hela-3,salient_mask,0.3104437460653044,0.4074215278769898,0.2951701089971591,0.2282509015035557
jrc_hela-3,salient_mask_aggressive,0.2762589400067327,0.2864811479311137,0.3377485191815708,0.18845010721343305
jrc_hela-3,uncertainty_au,0.0901290035695769,0.26654057810438475,0.20777962238156206,0.054028764197622425
jrc_hela-3,uncertainty_eu,0.27059060887152764,0.3130859086143687,0.2994808438886113,0.1887956331830348
jrc_jurkat-1,box_class_mask,0.29167354654331606,0.29593722808661815,0.48545424308299945,0.20952015318560005
jrc_jurkat-1,box_class_mask_tight,0.2863188157234014,0.2870389115394486,0.48410585968883935,0.2055411653703491
jrc_jurkat-1,class_presence,0.18856512082980056,0.20447590850165803,0.2137289948762046,0.12534258424055705
jrc_jurkat-1,class_presence_strict,0.1464322987581082,0.2420279447495957,0.17370648240580197,0.09001526517614902
jrc_jurkat-1,entropy_mask,0.26866483396449,0.2688898270648715,0.4068117111598867,0.1951052801359979
jrc_jurkat-1,entropy_mask_strict,0.23011173286691014,0.23725557906355715,0.4225918039188789,0.15566736046248336
jrc_jurkat-1,masksup_r0.3,0.3151152482776123,0.3039059902731254,0.4290569670049734,0.2296984440482765
jrc_jurkat-1,masksup_r0.5,0.284253996048181,0.3050064976435502,0.4077206872294288,0.20751952049265432
jrc_jurkat-1,no_mask,0.17760776074301451,0.26617789740102993,0.16818599561808859,0.11272360382249993
jrc_jurkat-1,regional_g16,0.2629985627843787,0.2455756652041643,0.42182109779643506,0.18752085758783796
jrc_jurkat-1,regional_g8,0.2537637961919747,0.23213527628891167,0.45498272534235634,0.17549730841401495
jrc_jurkat-1,salient_mask,0.26739593285429797,0.25221893133624407,0.48815675333008873,0.19380164310875483
jrc_jurkat-1,salient_mask_aggressive,0.23734573824791658,0.19412962388463662,0.37264458315099036,0.15819198101374424
jrc_jurkat-1,uncertainty_au,0.286514749074589,0.2723813050802256,0.44208297834260374,0.20444857917390494
jrc_jurkat-1,uncertainty_eu,0.2376183337027286,0.25759165892776203,0.2782585324142737,0.16522731001153151
jrc_macrophage-2,box_class_mask,0.550369253287568,0.5799391964966941,0.5793293325620215,0.43593817365886095
jrc_macrophage-2,box_class_mask_tight,0.5506980766700081,0.5817209068649295,0.5766854918949124,0.4368736208027423
jrc_macrophage-2,class_presence,0.4697081722382756,0.5018195621367624,0.4786523755497679,0.35146159556124784
jrc_macrophage-2,class_presence_strict,0.3652789915683279,0.48706628902419896,0.43870857364521276,0.25120142196685646
jrc_macrophage-2,entropy_mask,0.4972911217880081,0.5749181844100846,0.47679209297325686,0.39945823697370153
jrc_macrophage-2,entropy_mask_strict,0.36673092368229365,0.5199064908956642,0.3315455076691016,0.2746603560386698
jrc_macrophage-2,masksup_r0.3,0.45215010488298796,0.6722606451258805,0.428507683852692,0.3658773908491943
jrc_macrophage-2,masksup_r0.5,0.49849724403966755,0.6310189710270449,0.4739669957820203,0.4013808400840106
jrc_macrophage-2,no_mask,0.36848406487879887,0.6394372670442509,0.3372171504819971,0.28902069798598523
jrc_macrophage-2,regional_g16,0.38985671948421324,0.5379725941831631,0.37665601214766253,0.3230730752975165
jrc_macrophage-2,regional_g8,0.4183959313751512,0.5106896203220709,0.4307125051708495,0.3422816774896529
jrc_macrophage-2,salient_mask,0.5089054235738113,0.6411062580314149,0.4903533097403616,0.3988597730554111
jrc_macrophage-2,salient_mask_aggressive,0.5084744452200767,0.5172969474030321,0.5928784234281602,0.39590942958116215
jrc_macrophage-2,uncertainty_au,0.4999667004154527,0.6474634908045266,0.4912440900060485,0.4051071841425696
jrc_macrophage-2,uncertainty_eu,0.4658948450983799,0.6713756013521266,0.4361330592266642,0.37066707314646596
jrc_mus-kidney,box_class_mask,0.2771199793573248,0.30392482974468227,0.26057762432160747,0.1948765689181522
jrc_mus-kidney,box_class_mask_tight,0.2762816030998886,0.30296497546855605,0.2601738694320873,0.19426953743077235
jrc_mus-kidney,class_presence,0.20783028290514532,0.3370766573546889,0.15662281510387152,0.13484714447271257
jrc_mus-kidney,class_presence_strict,0.2592019297569636,0.2992464908122664,0.23227406601901252,0.18200815902376782
jrc_mus-kidney,entropy_mask,0.21464048212286807,0.2910234180048063,0.20663237875596643,0.1561218102075971
jrc_mus-kidney,entropy_mask_strict,0.22081949347909252,0.2885147603848953,0.2113682721587939,0.15989627885698224
jrc_mus-kidney,masksup_r0.3,0.23219117054906424,0.2866500204462127,0.21277300461297158,0.16308993115983203
jrc_mus-kidney,masksup_r0.5,0.23565957098732135,0.311648702845443,0.22515812222467932,0.16947820305320002
jrc_mus-kidney,no_mask,0.1640182727330244,0.30075290710292546,0.1331651532946952,0.10256471997294714
jrc_mus-kidney,regional_g16,0.20984913409579847,0.24857742303069927,0.22471697938258842,0.14925781133889113
jrc_mus-kidney,regional_g8,0.23287728301375452,0.27767497876668845,0.21277679297624483,0.1602446861565469
jrc_mus-kidney,salient_mask,0.22956300960441975,0.270223038940382,0.23148745480329289,0.1649753967833238
